Time Elapsed (s),Fx (N),Fy (N),Fz (N),Tx (Nm),Ty (Nm),Tz (Nm)
1.000999927520752,5.471133,0.137358,-9.717592,0.042319,-0.138107,0.08332
2.001999855041504,5.460892,0.152414,-9.742821,0.042271,-0.138029,0.082877
3.001999855041504,5.462489,0.159324,-9.739361,0.042257,-0.137496,0.08332
4.001999855041504,5.456604,0.153226,-9.717272,0.041835,-0.137776,0.08285
5.003000020980835,5.458782,0.133944,-9.74176,0.041839,-0.137345,0.083228
6.000999927520752,5.447166,0.13747,-9.743457,0.041498,-0.137012,0.083069
7.000999927520752,5.456749,0.145777,-9.744665,0.042309,-0.137222,0.083273
8.001999855041504,5.444897,0.152188,-9.733002,0.042124,-0.137498,0.083161
9.001999855041504,5.451524,0.141038,-9.736182,0.041794,-0.137539,0.083259
10.001999855041504,5.447401,0.152365,-9.733402,0.042055,-0.137411,0.083536
11.003000020980835,5.459561,0.121562,-9.720701,0.041265,-0.138257,0.082669
12.003000020980835,5.456684,0.132638,-9.738319,0.041607,-0.137707,0.083145
13.003000020980835,5.462838,0.139626,-9.736124,0.041836,-0.137724,0.082927
14.003000020980835,5.446593,0.130035,-9.72278,0.042048,-0.137536,0.08307
15.003000020980835,5.444588,0.143785,-9.723419,0.041955,-0.137702,0.083231
16.000999927520752,5.453511,0.140015,-9.719966,0.041925,-0.1376,0.082887
17.000999927520752,5.453156,0.138007,-9.721769,0.041775,-0.136951,0.083297
18.000999927520752,5.45414,0.139228,-9.721266,0.04183,-0.137552,0.083346
19.001999855041504,5.450489,0.126929,-9.724961,0.04139,-0.137451,0.082918
20.001999855041504,5.455575,0.140679,-9.731247,0.041602,-0.13776,0.083157
21.001999855041504,5.443884,0.139949,-9.719951,0.041984,-0.137597,0.082871
22.001999855041504,5.441835,0.137844,-9.718972,0.041868,-0.137716,0.083685
23.001999855041504,5.429462,0.155116,-9.723948,0.042029,-0.137556,0.083009
24.001999855041504,5.45553,0.130436,-9.708293,0.041411,-0.138215,0.083338
25.001999855041504,5.456641,0.128265,-9.707565,0.041951,-0.138361,0.083428
26.001999855041504,5.459034,0.139512,-9.710662,0.042229,-0.138274,0.083367
27.001999855041504,5.450793,0.145888,-9.708571,0.042625,-0.138026,0.0828
28.001999855041504,5.441073,0.136617,-9.733514,0.04253,-0.137377,0.083534
29.000999927520752,5.447311,0.147086,-9.709961,0.042375,-0.137693,0.083227
30.001999855041504,5.455365,0.162681,-9.716572,0.042829,-0.138253,0.083399
31.003000020980835,5.451046,0.143871,-9.700948,0.042491,-0.138134,0.08309
32.003000020980835,5.45809,0.141817,-9.71295,0.04237,-0.138205,0.083159
33.001999855041504,5.451837,0.147486,-9.701669,0.042366,-0.138348,0.082763
34.001999855041504,5.456663,0.13619,-9.71444,0.042447,-0.13798,0.083024
35.00099992752075,5.44987,0.143815,-9.71432,0.042139,-0.138267,0.083037
36.003000020980835,5.455829,0.138664,-9.714271,0.042475,-0.137747,0.083249
37.001999855041504,5.444167,0.142129,-9.729547,0.0426,-0.138051,0.082993
38.001999855041504,5.460256,0.136511,-9.715968,0.042252,-0.138253,0.083029
39.00099992752075,5.467141,0.131951,-9.713364,0.042451,-0.138174,0.082857
40.00099992752075,5.450662,0.127499,-9.710546,0.041439,-0.138472,0.083136
41.00099992752075,5.439351,0.148095,-9.722051,0.042187,-0.137744,0.083372
42.003000020980835,5.431036,0.153956,-9.730919,0.042342,-0.137192,0.082998
43.00099992752075,5.462695,0.114125,-9.692654,0.041464,-0.13859,0.083197
44.001999855041504,5.458116,0.104327,-9.671866,0.041519,-0.138991,0.083056
45.001999855041504,5.449107,0.133884,-9.718788,0.041926,-0.137951,0.082982
46.001999855041504,5.42885,0.126116,-9.706976,0.0422,-0.137902,0.082969
47.001999855041504,5.439314,0.137363,-9.708216,0.042563,-0.138087,0.083412
48.001999855041504,5.454636,0.122907,-9.705119,0.042395,-0.138185,0.082709
49.001999855041504,5.446821,0.113528,-9.694289,0.04198,-0.138427,0.083559
50.001999855041504,5.446051,0.129558,-9.707158,0.042413,-0.137976,0.08294
51.001999855041504,5.440726,0.130799,-9.709819,0.042053,-0.138188,0.083348
52.001999855041504,5.441647,0.130923,-9.699306,0.042302,-0.138284,0.083229
53.00099992752075,5.469949,0.126974,-9.691705,0.041414,-0.138424,0.083252
54.00099992752075,5.454235,0.12688,-9.679786,0.04175,-0.13866,0.083334
55.00099992752075,5.452439,0.138799,-9.693317,0.042672,-0.138157,0.083405
56.00099992752075,5.434225,0.135963,-9.689298,0.04255,-0.137622,0.083225
57.00099992752075,5.449151,0.131162,-9.673138,0.042281,-0.138833,0.083152
58.001999855041504,5.46135,0.109113,-9.671027,0.041851,-0.138932,0.082889
59.003000020980835,5.427963,0.131404,-9.681932,0.042613,-0.137766,0.082815
60.00099992752075,5.439229,0.133801,-9.720135,0.043014,-0.137494,0.08328
61.00099992752075,5.463951,0.102774,-9.68023,0.041212,-0.138834,0.082805
62.001999855041504,5.441546,0.132705,-9.691024,0.042945,-0.138218,0.082903
63.001999855041504,5.447721,0.132088,-9.702226,0.043194,-0.137976,0.082987
64.0019998550415,5.445987,0.127628,-9.684624,0.042524,-0.138518,0.083121
65.0019998550415,5.438646,0.119963,-9.669588,0.042713,-0.138022,0.08298
66.0019998550415,5.447448,0.125465,-9.705948,0.042972,-0.137862,0.083026
67.0019998550415,5.445526,0.136427,-9.708728,0.043224,-0.137917,0.082644
68.0019998550415,5.4528,0.116706,-9.711406,0.042524,-0.138157,0.08306
